modele,GCM,RCM,scenario,2C,2.7C,4C
CMCC-CM2-SR5_ssp370_r1i1p1f1_CNRM-ALADIN64E1_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,CMCC-CM2-SR5,CNRM-ALADIN64E1,ssp370,2033,2050,2072
CNRM-ESM2-1_ssp370_r1i1p1f2_CNRM-ALADIN64E1_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,CNRM-ESM2-1,CNRM-ALADIN64E1,ssp370,2047,2073,
CNRM-ESM2-1_ssp370_r1i1p1f2_HCLIM43-ALADIN_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,CNRM-ESM2-1,HCLIM43-ALADIN,ssp370,2047,2072,
CNRM-ESM2-1_ssp370_r1i1p1f2_RACMO23E_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,CNRM-ESM2-1,RACMO23E,ssp370,2048,2072,2099
CNRM-ESM2-1_ssp370_r14i1p1f2_CNRM-ALADIN64E1_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,CNRM-ESM2-1,CNRM-ALADIN64E1,ssp370,2047,2076,
CNRM-ESM2-1_ssp370_r15i1p1f2_CNRM-ALADIN64E1_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,CNRM-ESM2-1,CNRM-ALADIN64E1,ssp370,2054,2076,
EC-Earth3_ssp370_r1i1p1f1_RACMO23E_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,EC-Earth3,RACMO23E,ssp370,2026,2044,2071
EC-Earth3-Veg_ssp370_r1i1p1f1_HCLIM43-ALADIN_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,EC-Earth3-Veg,HCLIM43-ALADIN,ssp370,2040,2056,2075
EC-Earth3-Veg_ssp370_r1i1p1f1_RACMO23E_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,EC-Earth3-Veg,RACMO23E,ssp370,2037,2054,2075
IPSL-CM6A-LR_ssp370_r1i1p1f1_HCLIM43-ALADIN_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,IPSL-CM6A-LR,HCLIM43-ALADIN,ssp370,2036,2057,2080
MIROC6_ssp370_r1i1p1f1_HCLIM43-ALADIN_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,MIROC6,HCLIM43-ALADIN,ssp370,2037,2060,2095
MPI-ESM1-2-HR_ssp370_r1i1p1f1_HCLIM43-ALADIN_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,MPI-ESM1-2-HR,HCLIM43-ALADIN,ssp370,2043,2069,
MPI-ESM1-2-HR_ssp370_r1i1p1f1_ICON-CLM-202407-1-1_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,MPI-ESM1-2-HR,ICON-CLM-202407-1-1,ssp370,2044,2070,
MPI-ESM1-2-HR_ssp370_r1i1p1f1_RACMO23E_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,MPI-ESM1-2-HR,RACMO23E,ssp370,2041,2065,2098
NorESM2-MM_ssp370_r1i1p1f1_CNRM-ALADIN64E1_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,NorESM2-MM,CNRM-ALADIN64E1,ssp370,2047,2068,
NorESM2-MM_ssp370_r1i1p1f1_HCLIM43-ALADIN_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,NorESM2-MM,HCLIM43-ALADIN,ssp370,2045,2066,2100
NorESM2-MM_ssp370_r1i1p1f1_RACMO23E_MF-CDFt-ANASTASIA-SAFRAN-1985-2014,NorESM2-MM,RACMO23E,ssp370,2050,2070,